Question,Answer
What certificates are accepted for admission to the Computer Science & Information Technology Programs and what are their requirements?,"The accepted certificates for admission to the Computer Science & Information Technology Programs and their requirements are: - Thanawya Amma Certificate (Mathematics/Science Section): STEM schools (Math/Science Section) - British Schools (GCE/GCSE/IGCSE): Successful completion of 12 years of schooling, completion of eight O-level (OL) subjects including qualifying subject with minimum grade of C, minimum of one A-level (AL) math subject or one Advanced Supplementary-level (ASL) subject (Math is mandatory) - American High School Diploma: Submission of college dashboard username and password to verify SAT scores, completion of eight different subjects including qualifying subject with minimum required SAT scores - Canadian Diploma (inside Egypt): Successful completion of eight different subjects including qualifying subject, minimum required SAT scores - Canadian Diploma (international schools in Canada): Successful completion of eight different subjects including qualifying subject - French Baccalaureate: Minimum passing score of 10/20, inclusion of seven subjects in grade calculations including qualifying subject - German Abitur: Completion of qualifying subjects in grades 11 and 12, inclusion of seven subjects in grade calculations - International Baccalaureate: Minimum passing score of 24/45, passing in English language, submission of final graduation IB Diploma"
What are the general notes regarding admission requirements in the Computer Science & Information Technology Programs?,"The general notes regarding admission requirements in the Computer Science & Information Technology Programs are: - Meeting minimum requirements does not guarantee acceptance - Overall assessment based on high school score, entrance exams score, English score, and interview - Incomplete applications will not be considered - Falsifications or forgeries will result in rejection - Correspondence via email; applicants must use functional email address - Submitted documents will not be returned"
What documents are required for admission to the Computer Science & Information Technology Programs?,The documents required for admission to the Computer Science & Information Technology Programs are: - High school certificate - Birth certificate - National ID or passport copy - Proof of English proficiency (if available) - 4x6 photo with white background - University transcript (for old date high school graduation) - Application fee of 500 EGP (non-refundable) - College dashboard username and password (for American Diploma students) - Proof of residency (for applicants from other countries)
What are the eligibility requirements for Egyptian applicants in the Sustainable Architecture program?,"The eligibility requirements for Egyptian applicants in the Sustainable Architecture program are: - Completion of secondary school education with THANAWYA AMMA certificate in Mathematics or equivalent - Age not exceeding 21 years as of September 1, 2023 - Male applicants must provide military service status - Passing E-JUST English Proficiency test or providing valid TOEFL (iBT) score of 60 or IELTS score of 6.0 - Ability to read, write, and communicate efficiently in English"
What are the eligibility requirements for applicants from other countries in the Sustainable Architecture program?,"The eligibility requirements for applicants from other countries in the Sustainable Architecture program are: - Equivalent secondary school certificate approved by the Supreme Council of Universities of Egypt (SCU) - Completion of at least 12 years of schooling or equivalent - Ability to read, write, and communicate efficiently in English - Passing Arabic and Religion exams of Thanawya Amma (for accepted students with foreign certificates)"
What certificates are accepted for admission to the Sustainable Architecture program and what are their requirements?,"The accepted certificates for admission to the Sustainable Architecture program and their requirements are: - Thanawya Amma/Tawgihi Certificate from other Arab Countries (Science section): As per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - Thanawya Azharia Certificate (Science section): Religious subjects will not be considered - British Schools (GCE/GCSE/IGCSE): Successful completion of 12 years of schooling, completion of eight O-level (OL) subjects including qualifying subject with minimum grade of C, minimum of one A-level (AL) math subject or one Advanced Supplementary-level (ASL) subject (Math is mandatory) - American High School Diploma: Submission of college dashboard username and password to verify SAT scores, completion of eight different subjects including qualifying subject with minimum required SAT scores - Canadian Diploma (inside Egypt): Successful completion of eight different subjects including qualifying subject, minimum required SAT scores - Canadian Diploma (international schools in Canada): Successful completion of eight different subjects including qualifying subject - French Baccalaureate: Minimum passing score of 10/20, inclusion of seven subjects in grade calculations including qualifying subject - German Abitur: Completion of qualifying subjects in grades 11 and 12, inclusion of seven subjects in grade calculations - International Baccalaureate: Minimum passing score of 24/45, passing in English language, submission of final graduation IB Diploma"
What are the general notes regarding admission requirements in the Sustainable Architecture program?,"The general notes regarding admission requirements in the Sustainable Architecture program are: - Meeting minimum requirements does not guarantee acceptance - Overall assessment based on high school score, entrance exams score, English score, and interview - Incomplete applications will not be considered - Falsifications or forgeries will result in rejection - Correspondence via email; applicants must use functional email address - Submitted documents will not be returned"
What documents are required for admission to the Sustainable Architecture program?,The documents required for admission to the Sustainable Architecture program are: - High school certificate - Birth certificate - National ID or passport copy - Proof of English proficiency (if available) - 4x6 photo with white background - University transcript (for old date high school graduation) - Application fee of 500 EGP (non-refundable) - College dashboard username and password (for American Diploma students) - Proof of residency (for applicants from other countries)
What are the eligibility requirements for Egyptian applicants in the Faculty of Art and Design?,"The eligibility requirements for Egyptian applicants in the Faculty of Art and Design are: - Completion of secondary school education with THANAWYA AMMA certificate in Mathematics and Science or equivalent - Age not exceeding 21 years as of September 1, 2023 - Male applicants must provide military service status - Passing E-JUST English Proficiency test or providing valid TOEFL (iBT) score of 60 or IELTS score of 6.0 - Ability to read, write, and communicate efficiently in English"
What are the eligibility requirements for applicants from other countries in the Faculty of Art and Design?,"The eligibility requirements for applicants from other countries in the Faculty of Art and Design are: - Equivalent secondary school certificate approved by the Supreme Council of Universities of Egypt (SCU) - Completion of at least 12 years of schooling or equivalent - Ability to read, write, and communicate efficiently in English - Passing Arabic and Religion exams of Thanawya Amma (for accepted students with foreign certificates)"
What certificates are accepted for admission to the Faculty of Art and Design program and what are their requirements?,"The accepted certificates for admission to the Faculty of Art and Design program and their requirements are: - Thanawya Amma/Tawgihi Certificate from other Arab Countries (Science section): As per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - Thanawya Amma Certificate (Mathematics/Science Section): As per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - Thanawya Azharia Certificate (Science section): Religious subjects will not be considered - British Schools (GCE/GCSE/IGCSE): Successful completion of 12 years of schooling, completion of eight O-level (OL) subjects including qualifying subject with minimum grade of C, minimum of one A-level (AL) math subject or one Advanced Supplementary-level (ASL) subject (Math is mandatory) - American High School Diploma: Submission of college dashboard username and password to verify SAT scores, completion of eight different subjects including qualifying subject with minimum required SAT scores - Canadian Diploma (inside Egypt): Successful completion of eight different subjects including qualifying subject, minimum required SAT scores - Canadian Diploma (international schools in Canada): Successful completion of eight different subjects including qualifying subject - French Baccalaureate: Minimum passing score of 10/20, inclusion of seven subjects in grade calculations including qualifying subject - German Abitur: Completion of qualifying subjects in grades 11 and 12, inclusion of seven subjects in grade calculations - International Baccalaureate: Minimum passing score of 24/45, passing in English language, submission of final graduation IB Diploma"
What are the general notes regarding admission requirements in the Faculty of Art and Design program?,"The general notes regarding admission requirements in the Faculty of Art and Design program are: - Meeting minimum requirements does not guarantee acceptance - Overall assessment based on high school score, entrance exams score, English score, and interview - Incomplete applications will not be considered - Falsifications or forgeries will result in rejection - Correspondence via email; applicants must use functional email address - Submitted documents will not be returned"
What documents are required for admission to the Faculty of Art and Design program?,The documents required for admission to the Faculty of Art and Design program are: - High school certificate - Birth certificate - National ID or passport copy - Proof of English proficiency (if available) - 4x6 photo with white background - University transcript (for old date high school graduation) - Application fee of 500 EGP (non-refundable) - College dashboard username and password (for American Diploma students) - Proof of residency (for applicants from other countries)
What are the eligibility requirements for Egyptian applicants in the Pharm D program?,"The eligibility requirements for Egyptian applicants in the Pharm D program are: - Completion of secondary school education with THANAWYA AMMA certificate in Science or equivalent - Age not exceeding 21 years as of September 1, 2023 - Male applicants must provide military service status - Passing E-JUST English Proficiency test or providing valid TOEFL (iBT) score of 60 or IELTS score of 6.0 - Ability to read, write, and communicate efficiently in English"
What are the eligibility requirements for applicants from other countries in the Pharm D program?,"The eligibility requirements for applicants from other countries in the Pharm D program are: - Equivalent secondary school certificate approved by the Supreme Council of Universities of Egypt (SCU) - Completion of at least 12 years of schooling or equivalent - Ability to read, write, and communicate efficiently in English - Passing Arabic and Religion exams of Thanawya Amma (for accepted students with foreign certificates)"
What certificates are accepted for admission to the Pharm D program and what are their requirements?,"The accepted certificates for admission to the Pharm D program and their requirements are: - Thanawya Amma Certificate (science section): As per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - STEM schools (science section): As per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - Thanawya Amma/Tawgihi Certificate from other Arab Countries (Science section): As per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - Thanawya Azharia Certificate (Science section): Religious subjects are not considered - British Schools (GCE/GCSE/IGCSE): Successful completion of 12 years of schooling, completion of eight O-level (OL) subjects including qualifying subject with minimum grade of C, minimum of one A-level (AL) or one Advanced Supplementary-level (ASL) subject (Biology) - American High School Diploma: Submission of college dashboard username and password to verify SAT scores, completion of eight different subjects including qualifying subject with minimum required SAT scores - Canadian Diploma (inside Egypt): Successful completion of eight different subjects including qualifying subject, minimum required SAT scores - Canadian Diploma (international schools in Canada): Successful completion of eight different subjects including qualifying subject - French Baccalaureate: Minimum passing score of 10/20, inclusion of seven subjects in grade calculations including qualifying subject - German Abitur: Completion of qualifying subjects in grades 11 and 12, inclusion of seven subjects in grade calculations - International Baccalaureate: Minimum passing score of 24/45, passing in English language, submission of final graduation IB Diploma"
What are the general notes regarding admission requirements in the Pharm D program?,"The general notes regarding admission requirements in the Pharm D program are: - Meeting minimum requirements does not guarantee acceptance - Overall assessment based on high school score, entrance exams score, English score, and interview - Incomplete applications will not be considered - Falsifications or forgeries will result in rejection - Correspondence via email; applicants must use functional email address - Submitted documents will not be returned"
What documents are required for admission to the Pharm D program?,The documents required for admission to the Pharm D program are: - High school certificate - Birth certificate - National ID or passport copy - Proof of English proficiency (if available) - 4x6 photo with white background - University transcript (for old date high school graduation) - Application fee of 500 EGP (non-refundable) - College dashboard username and password (for American Diploma students) - Proof of residency (for applicants from other countries)
What are the eligibility requirements for Egyptian applicants in the Basic and Applied Science program?,"The eligibility requirements for Egyptian applicants in the Basic and Applied Science program are: - Completion of secondary school education with THANAWYA AMMA certificate in Mathematics/Science stream or equivalent - Age not exceeding 21 years as of September 1, 2023 - Male applicants must provide military service status - Passing E-JUST English Proficiency test or providing valid TOEFL (iBT) score of 60 or IELTS score of 6.0 - Ability to read, write, and communicate efficiently in English"
What are the eligibility requirements for applicants from other countries in the Basic and Applied Science program?,"The eligibility requirements for applicants from other countries in the Basic and Applied Science program are: - Equivalent secondary school certificate approved by the Supreme Council of Universities of Egypt (SCU) - Completion of at least 12 years of schooling or equivalent - Ability to read, write, and communicate efficiently in English - Passing Arabic and Religion exams of Thanawaya Amma (for accepted students with foreign certificates)"
What certificates are accepted for admission to the Basic and Applied Science program and what are their requirements?,"The accepted certificates for admission to the Basic and Applied Science program and their requirements are: - Thanawya Amma/ STEM Certificate (Math section): Cannot apply for the Molecular Biology Biomedical Sciences Program, as per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - Thanawya Amma/ STEM Certificate (Science Section): Cannot apply for Mathematics and Statistics program, as per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - Thanawya Amma/Tawgihi Certificate from other Arab Countries (Science section): As per the regulations and score calculation rules of the Ministry of Higher Education in Egypt - Thanawya Azharia Certificate (Science section): Religious subjects are not considered - British Schools (GCE/GCSE/IGCSE): Successful completion of 12 years of schooling, completion of eight O-level (OL) subjects including qualifying subject with minimum grade of C, minimum of one A-level (AL) or one Advanced Supplementary-level (ASL) subject (Biology) - American High School Diploma: Submission of college dashboard username and password to verify SAT scores, completion of eight different subjects including qualifying subject with minimum required SAT scores - Canadian Diploma (inside Egypt): Successful completion of eight different subjects including qualifying subject, minimum required SAT scores - Canadian Diploma (international schools in Canada): Successful completion of eight different subjects including qualifying subject - French Baccalaureate: Minimum passing score of 10/20, inclusion of seven subjects in grade calculations including qualifying subject - German Abitur: Completion of qualifying subjects in grades 11 and 12, inclusion of seven subjects in grade calculations - International Baccalaureate: Minimum passing score of 24/45, passing in English language, submission of final graduation IB Diploma"
What are the general notes regarding admission requirements in the Basic and Applied Science program?,"The general notes regarding admission requirements in the Basic and Applied Science program are: - Meeting minimum requirements does not guarantee acceptance - Overall assessment based on high school score, entrance exams score, English score, and interview - Incomplete applications will not be considered - Falsifications or forgeries will result in rejection - Correspondence via email; applicants must use functional email address - Submitted documents will not be returned"
What documents are required for admission to the Basic and Applied Science program?,The documents required for admission to the Basic and Applied Science program are: - High school certificate - Birth certificate - National ID or passport copy - Proof of English proficiency (if available) - 4x6 photo with white background - University transcript (for old date high school graduation) - Application fee of 500 EGP (non-refundable) - College dashboard username and password (for American Diploma students) - Proof of residency (for applicants from other countries)
